spk_id,log_f0_rmse,stft_l2_dist,vuv_error
5513,0.083,0.821,10
5514,0.083,0.947,10
5519,0.11,0.83,9
5536,0.098,0.83,8
5538,0.08,0.839,8
5561,0.112,0.806,9
5570,0.07,0.909,8
5583,0.105,0.914,9
5588,0.098,0.933,11
5604,0.081,0.853,8
5606,0.086,0.912,9
5618,0.083,0.89,10
5622,0.073,0.964,7
5635,0.13,0.881,11
5639,0.086,0.807,9
5652,0.061,0.918,9
5655,0.136,0.856,9
5656,0.116,0.824,12
5660,0.075,0.962,8
5672,0.138,0.81,9
5678,0.125,0.865,11
5683,0.067,0.931,9
5684,0.1,0.858,8
5688,0.019,1.003,9
5694,0.134,0.827,9
5703,0.11,0.872,10
5712,0.082,0.894,8
5717,0.166,0.828,10
5723,0.075,0.842,10
5724,0.074,1.073,8
5727,0.161,0.829,11
5731,0.08,0.918,7
5740,0.089,0.875,8
5746,0.126,0.821,12
5750,0.109,0.847,11
5767,0.097,0.84,13
5776,0.142,0.809,12
5778,0.073,0.857,8
5789,0.082,0.87,9
5802,0.119,0.837,8
5808,0.057,0.864,14
5809,0.083,0.876,8
5810,0.11,0.828,11
5867,0.126,0.845,9
5868,0.148,0.824,11
5876,0.081,0.878,9
5883,0.119,0.834,9
5895,0.08,0.887,10
5909,0.109,0.864,11
5914,0.135,0.818,8
5918,0.154,0.826,10
5935,0.129,0.86,12
5940,0.141,0.916,14
5968,0.086,0.83,9
5975,0.134,0.816,9
5984,0.078,0.88,8
5985,0.164,0.837,10
6000,0.061,0.925,10
6006,0.073,0.89,8
6014,0.121,0.821,9
6019,0.069,0.846,10
6032,0.089,0.856,10
6037,0.126,0.82,15
6038,0.084,0.834,10
6054,0.129,0.902,10
6060,0.148,0.852,11
6064,0.112,0.928,10
6075,0.118,0.883,11
6078,0.071,0.85,8
6080,0.124,0.82,12
6081,0.122,0.844,10
6082,0.086,0.846,9
6098,0.104,0.838,10
6099,0.102,0.853,7
6104,0.075,1.154,9
6115,0.063,0.827,14
6119,0.043,1.023,19
6120,0.085,0.87,9
6139,0.088,0.882,10
6147,0.085,1.316,8
6157,0.144,0.819,12
6160,0.085,0.907,11
6167,0.083,0.899,10
6181,0.124,0.848,13
6188,0.13,0.814,9
6189,0.092,0.924,9
6206,0.092,0.962,12
6209,0.128,0.856,14
6215,0.089,0.95,8
6233,0.133,0.883,10
6235,0.074,0.931,10
6241,0.079,0.83,10
6258,0.076,0.854,8
6269,0.056,0.875,13
6272,0.148,0.873,9
6286,0.153,0.874,13
6288,0.139,0.892,10
6294,0.132,0.803,9
6295,0.114,0.85,13
6300,0.086,0.84,11
6308,0.125,0.867,12
6313,0.141,1.934,11
6317,0.081,0.948,8
6319,0.148,0.867,11
6330,0.161,0.855,10
6339,0.091,0.931,12
6341,0.081,0.872,9
6345,0.09,0.899,9
6352,0.153,0.82,9
6359,0.13,0.827,9
6367,0.115,0.832,10
6371,0.095,0.901,9
6373,0.096,0.874,9
6378,0.099,0.848,10
6385,0.151,0.929,10
6388,0.079,1.012,8
6395,0.106,0.81,9
6406,0.093,1.19,9
6415,0.119,0.848,9
6426,0.082,0.836,9
6437,0.115,0.839,10
6446,0.108,0.802,9
6454,0.121,0.824,11
6458,0.072,0.842,8
6476,0.081,0.897,7
6492,0.059,0.804,9
6494,0.145,0.831,11
6497,0.107,0.841,11
6499,0.13,0.803,7
6505,0.08,0.915,7
6509,0.093,0.908,9
6510,0.095,0.852,8
6518,0.066,0.944,10
6519,0.113,1.027,9
6529,0.126,0.825,10
6531,0.083,0.82,7
6538,0.064,0.771,7
6544,0.084,0.928,8
6550,0.111,0.812,8
6553,0.095,0.83,9
6555,0.09,0.804,8
6563,0.128,0.821,10
6567,0.084,0.866,8
6574,0.077,0.828,9
6575,0.115,0.878,10
6620,0.089,0.882,8
6637,0.092,0.887,8
6643,0.102,0.875,7
6673,0.106,0.881,10
6683,0.096,0.898,9
6686,0.118,0.867,10
6690,0.103,0.858,13
6694,0.114,0.843,11
6696,0.087,0.853,7
6701,0.11,0.835,12
6727,0.149,0.838,11
6763,0.087,0.866,8
6782,0.117,0.843,9
6788,0.093,0.864,8
6818,0.082,0.84,7
6828,0.079,0.826,7
6829,0.096,0.894,10
6836,0.108,0.833,10
6848,0.122,0.827,11
6865,0.111,0.89,11
6877,0.076,0.828,10
6880,0.108,0.841,11
6895,0.108,0.834,9
6904,0.09,0.892,9
6918,0.083,0.87,8
6924,0.084,0.886,8
6925,0.137,0.869,11
6927,0.09,0.895,9
6930,0.084,1.054,8
6937,0.098,0.821,9
6956,0.094,0.872,9
6965,0.126,0.814,9
6981,0.133,0.832,10
6993,0.124,0.808,10
7000,0.107,0.888,11
7011,0.133,0.83,11
7021,0.123,0.881,11
7030,0.083,0.871,11
7051,0.122,0.823,10
7059,0.109,0.859,10
7061,0.116,0.844,9
7067,0.118,0.838,9
7069,0.082,0.855,10
7078,0.093,0.893,10
7085,0.084,0.858,8
7090,0.12,0.833,12
7095,0.115,0.805,10
7113,0.08,0.931,10
7117,0.069,0.851,9
7120,0.092,0.849,8
7126,0.082,0.843,11
7127,0.077,0.853,11
7128,0.112,0.835,10
7134,0.091,0.851,12
7139,0.119,0.872,15
7140,0.089,0.852,8
7145,0.082,0.926,8
7148,0.075,0.892,13
7169,0.074,0.851,11
7176,0.077,0.823,11
7178,0.105,0.902,9
7188,0.109,0.846,11
7190,0.102,0.86,9
7226,0.143,0.826,10
7229,0.108,0.901,11
7240,0.087,0.826,7
7241,0.085,0.85,11
7245,0.099,0.843,9
7247,0.087,0.797,9
7258,0.101,0.867,12
7264,0.09,0.819,7
7276,0.086,0.891,9
7278,0.087,0.851,12
7285,0.106,0.934,10
7286,0.086,0.856,9
7294,0.098,0.903,9
7297,0.094,1.016,7
7302,0.079,0.936,9
7312,0.1,0.814,10
7313,0.082,0.88,12
7314,0.076,0.816,13
7316,0.109,0.811,8
7318,0.1,0.848,9
7335,0.109,0.842,7
7339,0.129,0.979,20
7342,0.085,0.916,12
